id, location, strk, opp_conference, opp_ppg, opp_ppga, opp_standing, result
1, "H", "L1","W","0","1","0","L"
2, "H", "L2","W","1","1","1","L"
3, "G", "L3","E","0","0","1","L"
4, "H", "L4","W","1","1","1","W"
5, "H", "W1","E","0","0","1","W"
6, "G", "W2","W","1","1","0","W"
7, "G", "W3","W","1","1","1","W"
8, "H", "W4","E","0","1","0","L"
9, "G", "L1","W","0","1","0","L"
10, "H", "L2","W","1","1","1","L"
11, "H", "L3","E","1","0","1","L"
12, "H", "L4","W","1","1","0","W"
13, "G", "W1","W","0","0","1","L"
14, "H", "L1","E","0","0","1","L"
15, "H", "L2","W","0","0","1","L"
16, "H", "L3","E","0","1","0","W"
17, "G", "W1","E","0","0","1","W"
18, "G", "W1","E","1","0","1","L"
19, "H", "L1","W","1","1","0","W"
20, "G", "W1","W","1","1","1","W"
21, "H", "W2","W","1","1","0","W"
22, "G", "W3","E","0","1","0","L"
23, "G", "L1","E","1","1","0","W"
24, "H", "W1","W","0","1","0","W"
25, "G", "W2","W","0","1","0","L"
26, "G", "L1","W","1","1","0","L"
27, "G", "L2","W","0","1","0","W"
28, "H", "W1","W","1","1","1","W"
29, "H", "W2","E","1","1","0","W"
30, "G", "W3","E","0","0","1","L"
31, "H", "L1","W","1","0","1","W"
32, "G", "W1","W","1","1","0","L"
33, "H", "L1","E","1","1","1","L"
34, "H", "L2","W","1","1","1","L"
35, "G", "L3","W","1","0","1","L"
36, "G", "L4","W","0","0","0","W"
37, "H", "W1","W","0","0","0","W"
38, "H", "W2","E","0","0","1","W"
39, "G", "W3","W","0","0","1","W"
